.!bt   |   BitTorrent Incomplete Download file
.scy   |   Security file (ReaGeniX)
.sda   |   Fidonet’s Software Distribution Network file archive description
.sdc   |   StarOffice Spreadsheet
.sdd   |   StarOffice Presentation
.sdf   |   System Data Format file (fixed lenght ASCII text)
.sdi   |   Software Distribution Network Info file
Single Document Interface file
.sdn   |   Software Distribution Network compressd file archive (pak251.exe)
.sdr   |   SmartDraw file
.sds   |   Chart Application Document file
.sdt   |   SmartDraw Template
Dungeon Keeper 2 Archive
Theme Park World Archive
.sdu   |   Edwards Systems Technology file
.sdw   |   StarOffice Text
Raw Signed DWord Data
Lotus WordPro Graphic
.sea   |   Self-Extracting compressed Macintosh file Archive
.sec   |   CyberPaint animation file (sequence)
Secret key ring file (Pretty Good Privacy RSA System)
Secured animation file (Disney Animation Studio)
.sed   |   Self Extraction Directive file
.sep   |   Printer separator page
.seq   |   Atari animation file
Sequential Instruction File (Bubble Chamber)
.ses   |   Session info (Clarion Modula-2)
.set   |   Configuration (1st Reader)
Driver sets created by Install (Symphony)
Setup options file
.sf   |   Ircam Sound File (CSound package – MixView sound sample editor)
Wps attribute storage (OS/2 WorkPlace Shell) wp_root.sf
.sf2   |   Creative Labs Soundfont file
.sfb   |   HP Soft Font file
.sfc   |   System File Checker file
.sff   |   Fritz Fax-Print file
Stage Scene file
Structured Fax Format
.sfi   |   Graphics (SIS Framegrabber)
Printer font (HP LaserJet landscape) (Ventura Publisher)
.sfl   |   Pcl 4 bitmap font (landscape) (Intellifont) (Ventura Publisher)
.sfn   |   Font (SPX)
.sfo   |   CuteFTP Search file
.sfp   |   Pcl 4 bitmap font (portrait) (Intellifont) (Ventura Publisher)
.sfs   |   Pcl 5 scalable font file (Intellifont)
.sft   |   Screen font (ChiWriter)
.sfv   |   QuickSFV/WinSFV Checksum file
Simple File Verification (Easy SFV Creator)
.sfw   |   Seattle Film Works file
.sfx   |   Self Extracting Archive file
.sg1   |   Graphics (Stanford Graphics)
.sgf   |   Document with graphics (Starwriter)
Smart Game Format
Sonique Skin
.sgi   |   Graphics (IRIS – Silicon Graphics)
.sgm   |   Standard Generalized Markup Language file
Run-Time Help Files
SoftQuad XMetaL File
.sgn   |   Sierra Print Artist Sign
.sgp   |   Statistics (STATGRAPHICS Plus)
.sgt   |   Save/get keyboard macro (Signature)
.sh   |   Unix shell script
Unix ASCII file archive created by SHAR (unshar.zip)
.sh3   |   Presentation (Harvard Graphics 3.0)
.sha   |   Shell Archive file
.shb   |   Background (CorelShow)
.shd   |   Microsoft Windows Shadow file
Print Spooler Shadow file
.shg   |   Segmented-graphics bitmap
.shk   |   Compressed Apple II file archive created by SHRINKIT
.shm   |   Shell macro (WordPerfect Library)
.shn   |   Shorten audio compression file
.shp   |   Shape file and source file for text fonts (AutoCAD)
.shr   |   Unix ASCII file archive created by SHAR (unshar.zip)
.shs   |   Microsoft Word or Excel scrap file which is created when you drag and drop selected text
.shtml   |   HTML File with Server Side
.shw   |   Presentation (Harvard Graphics 2.0 – CorelShow)
Slide show (WordPerfect Presentations)
.shx   |   Shape entities (AutoCAD)
.sid   |   Commodore64 Music file
LizardTech MrSID Photo
.sif   |   Setup Installation Files info (Windows NT Setup)
.sig   |   Current program settings (Signature)
PrintShop Sign file
Signature file (PopMail)
.sik   |   Backup file (Sicherungskopie) (MS Word)
.sim   |   Aurora
PC Finder 2002C
PowerDVD file
Simulation (various)
.sis   |   SymbianOS Installer file
.sit   |   Compressed Macintosh archive created by STUFFIT (unsit30.zip)
.sitx   |   Stuffit SITX Compressed File
.skb   |   SketchUp software file (3D Design Tool)
.skf   |   Autosketch file
.skin   |   Skin file
.skm   |   Google Sketchup Texture file
.skn   |   Interface skins images (FileWrangler, SecurDesk!, SecurDesk! LV, ZipWrangler)
Symbian OS Skin File
.skp   |   Sketchup software component (3D Design Tool)
.sl   |   S-Lang source code file
.slb   |   Slide library (AutoCAD)
.slc   |   Compiled SALT script (Telix)
.sld   |   Slide (AutoCAD)
.slf   |   BitDefender file
Symantec Licence file
.sli   |   Slide (MAGICorp Slide Service)
.slk   |   Sylk Symbolic Link format data file (MultiPlan)
.sll   |   Sound data file
.sln   |   Microsoft Visual Studio Solution file
.slt   |   Salt Script Application Language for Telix script source (Telix)
.sm   |   Smalltalk source code file
Maillist (SoftSpoken Mailer)
Script (ScriptMaker)
Text file (Samna Word)
.smc   |   Super Nintendo Game-console ROM Image
.smd   |   StarOffice Mail
.smf   |   Fax (SMARTFAX)
.smi   |   RealPlay SMIL file
Self Mounting Image file
.smil   |   Synchronized Multimedia Integration Language file
.smk   |   Compressed File (Smacker)
.smm   |   Macro (Ami Pro)
.smp   |   Sample (sound file)
.sms   |   Microsoft Package Definition file
Sega Master System Emulator
.smt   |   Text file (Smart Ware II)
.smtmp   |   SMTMP Virus
.snd   |   Digitized sound file (Macintosh/ATARI/PC)
.sng   |   Song (midi sound) (Midisoft Studio – Prism)
.snm   |   Netscape mail
.sno   |   Snobol4 source code file
.snp   |   CoffeeCup HTML Editor Snippet
Computer Eyes Video Output
Microsoft Access Report Snapshop file
Snapview Shapshot
.snx   |   Mirage Microdrive Snapshot Extended Version
Second Nature Software Graphic
StarCraft Saved file
.so   |   Apache Module file
.sol   |   Flash shared object file
Solution eg. game walkthroughs
.som   |   Network serial numbers (Quattro Pro)
Sort information (Paradox)
.son   |   Song (SBStudio II)
.sou   |   Sound data (sound tool)
.sp   |   Compressed file archive created by SPLINT (unix)
.spa   |   Macromedia FutureSplash file
Smart Protocol Analyzer Real Time Communication Data
SmartPA Saved Capture file
Thermo Nicolet OMNIC file
.spc   |   Program (MS Multiplan)
Temporary file (WordPerfect for Win)
Super Nintendo SPC700 sound file
.spd   |   Scalable font (Speedo) (Harvard Graphics 3.0)
.spf   |   Slide presentation file (EnerGraphics)
.spg   |   Glossary (Sprint)
.spi   |   Graphics (Siemens and Philips scanner)
.spi   |   InConSoft Ltd. Sim-Path system files
.spl   |   Compressed file archive created by SPLINT (splint.arc)
Customized printer driver (Sprint)
Personal spell dictionary (Signature)
Microsoft Windows Print Spool file
Sample
.spm   |   Data (WordPerfect) wp{wp}.spm
.spo   |   Statistical Program (SPSS)
.spp   |   Printer file (Sprint)
.spr   |   Document letter (Sprint)
Genarated screen program (FoxPro)
Sprite
.sps   |   Spssx source code file (VAX/VMS)
Screen driver (Sprint)
.spt   |   Spitbol source code file
Support file (MITAC disk/system management utility pack)
.spv   |   InConSoft Ltd Sim-Path vehicle file
.spw   |   Worksheet (SigmaPlot)
.spx   |   Compiled screen program (FoxPro)
.sql   |   SQL report or query
.sqlite   |   SQLite Database file
.sqm   |   Service Quality Monitoring file
Logfile for Windows Live Messenger
.sqz   |   Compressed file archive created by SQUEEZE (sqz1083e.exe)
.src   |   Source (DataFlex)
.srf   |   Sun Raster File graphics
Sony RAW Image file
.srp   |   Script (QuickLink)
.srt   |   BSplayer Subtitle file
Omron CX-Supervisor
SDR99 Speech Recognition Task Speech Recogniser Transcript
.ss   |   Bitmap graphics (Splash)
.ssa   |   Subtitles
.ssb   |   SmartSync Pro
.ssd   |   Datafile (SAS/PC)
.ssf   |   Snagit file
Enable Spreadsheet file
.ssm   |   RealPlayer Standard Streaming Metafile
.ssp   |   Datafile (SAS Transport)
.st   |   Smalltalk source code file (Little Smalltalk)
Instrument library (Scream Tracker)
Stamp (NeoPaint)
.st3   |   MIDI Karaoke file
.sta   |   Adobe Photoshop Match Colour Image Statistics file
Saved state (Reflection 4.0)
Stack (Spinmaker Plus)
.stb   |   Stub library (Genus GX Kernel)
.std   |   State Transition Diagram graphic file (Prosa)
Standard (something..) (LocoScript)
.stf   |   Compressed file archive created by SHRINKTOFIT
.stg   |   ActiveSync (Microsoft) Backup file
Statistica Graphics File
.stl   |   C++ Standard Template Library
.stm   |   State Transition Diagram model file (Prosa)
Music (Scream Tracker)
.stn   |   ArcView Geocoding Standardization file
STiNG file
.sto   |   Pascal stub OBJ file (Genus GX Kernel)
.stp   |   Sharepoint Web Site Template File
PageKeeper Packed Storage file
DART Pro 98 system settings
AP203 Step file
.str   |   Structure list object file (dBASE Application Generator)
.sts   |   Project status info (MS C/C++)
Song format (Scream Tracker)
.stt   |   Automap Template
SureThing CD Labeler Template file
.stu   |   Tarantella Enterprise 3 3270 Emulator Style file
xyALGEBRA file
.stw   |   Data file (SmartTerm for Windows)
.stx   |   Electronic book (SmarText)
Tax form (CA-Simply Tax)
.sty   |   Style library or sheet (many text and graphics programs)
.sub   |   CloneCd related file
.sui   |   Suit library (Simple User Interface Toolkit)
.sum   |   Summary
.sun   |   Sun rasterfile graphics
.sup   |   Supplementary dictionary (WordPerfect for Win)
.sv4   |   RollerCoaster Tycoon Saved Game
.svd   |   Autosave file for document (MS Word)
.svg   |   Autosave file for glossary (MS Word)
Scalable Vector Graphics File format
.svgz   |   Compressed Scaleable Graphic file
.svp   |   WISCO Survey Power
Sonique Visual Plugin file
SwiftView Command file
.svs   |   Autosave file for style sheet (MS Word)
.sw   |   Audio file (signed word)
.swd   |   Storybook file
Sabiston Textbook
.swf   |   ShockWave Flash object
.swg   |   Swag packet (SWAG Reader)
.swi   |   Swish Data file
.swk   |   Swapkeys Keyboard File
.swp   |   Document backup (Sprint)
Swap file (DOS)
.sxc   |   StarOffice / OpenOffice Spreadsheet file
.sxw   |   OpenOffice.org Writer 6.0 text file
StarOffice Word Document file
.sy1   |   Smartpix symbol library (Ami Pro)
.sy3   |   Symbol file (Harvard Graphics 3.0)
.syd   |   Backup of startup files created by QEMM (?) autoexec.syd
.sym   |   Precompiled headers (Borland C++)
Program symbol table (many compilers and linkers)
Symbol file (Harvard Graphics 2.0)
.syn   |   Sdsc Synu image file (SDSC Image Tool)
Synonym file (MS Word 5)
.sys   |   Datafile (SYGRAPH – SYSTAT – SPSS/PC)
System file – device driver or hardware configuration info (DOS)
.syw   |   Graphics symbols (Harvard Graphics Win)
.szc   |   Windows Mobile 5 (Pocket PC)
.t   |   Tads source
Tape Archive (tar) without compression
Tester symbol table (ReaGeniX code generator)
File extension for a Turing open source file
.t$m   |   AVG Internet Security Temporary file
.t04   |   TaxCut 2004 file
.t05   |   TaxCut 2005 Tax Return
.t06   |   TaxCut 2006 Tax Return
.t07   |   TaxCut 2007 Tax Return
.t08   |   TaxCut 2008 Tax Return
.t09   |   H&R Block At Home 2009 Tax Return
.t10   |   H&R Block At Home 2010 Tax Return
.t11   |   H&R Block At Home 2011 Tax Return
.t12   |   H&R Block At Home 2012 Tax Return
.t2   |   Textease 2000 file
.t44   |   Temporary file for Sort or Index (dBASE IV)
.t64   |   Program (C64S emulator)
.ta0   |   TaxAct file
.tab   |   Guitar Tablature file
MapInfo Table
Diabetes Mentor file
.tag   |   Query tag name (DataFlex)
.tah   |   Turbo Assembler Help file (Borland C++)
.tal   |   Text illustration (TypeAlign)
.tao   |   IsoBuster file
.tar   |   Compressed file archive created by TAR (pax2exe.zoo)
.tax   |   TurboTax file
.taz   |   Compressed ASCII file archive created by TAR and COMPRESS (.tar.Z)
.tb1   |   Font file (Borland Turbo C)
.tb2   |   Font file (Borland Turbo C)
.tbf   |   Fax (Imavox TurboFax)
.tbh   |   Mah Jongg for Windows Tile Set
.tbk   |   Memo backup (dBASE IV – FoxPro)
Toolbook (Asymetrix ToolBook)
.tbl   |   Graphics (native format) (Adobe PageMaker TableEditor)
Table of values (OS/2)
.tbs   |   Text elements ?? (Textbausteine) (MS Word)
.tbx   |   Table (Project Scheduler 4)
.tc   |   Configuration (Turbo C – Borland C++)
.tch   |   Turbo C Help file (Borland C++)
.tcl   |   Tool Command Language source code (Swat)
.tcp   |   3D Topicscape (exported inter-Topicscape topic link)
.tcw   |   Drawing (TurboCAD for Windows)
.td   |   Configuration file (Turbo Debugger for DOS)
.td0   |   Disk image file (Teledisk)
.td2   |   Configuration file (Turbo Debugger for Win32)
.tdb   |   Database (TACT)
eBay Turbo Lister file
.tdf   |   Font (TheDraw)
Typeface definition file (Speedo)
.tdh   |   Help file (Turbo Debugger)
.tdk   |   Keystroke recording file (Turbo Debugger)
.tds   |   Symbol table (Turbo Debugger)
.tdt   |   ASCII Data File in CSV Format
Daylight Fingerprint Data file
Thor Datatree file
.tdw   |   Configuration file (Turbo Debugger for Windows)
.tee   |   TeeChart Office graphic
.tef   |   Fax (Relisys TEFAX)
.tel   |   Host file (Telnet)
.tem   |   Turbo Editor Macro Language script (Borland C++)
Input template (IconAuthor)
.temp   |   Temporary file
.test   |   Test File Extension
.tex   |   LaTeX Source Document file
Tex text file (Scientific Word)
Datasheet (Idealist)
.text   |   ASCII Text file
.tf   |   Configuration (Turbo Profiler)
Configuration (TinyFugue)
.tfa   |   Area file (Turbo Profiler)
.tfc   |   Catalogue file (Tobi’s Floppy Cataloguer)
.tfh   |   Help file (Turbo Profiler)
.tfm   |   Tex Font Metric file (TeX)
Tagged font metric file (Intellifont)
.tfs   |   Statistics (Turbo Profiler)
.tfw   |   ArcView World File For TIF Image
Digital Raster Graphic World
.tg1   |   Project file (On Target)
.tga   |   Truevision Targa bitmap graphics
.tgz   |   Compressed file archive created by TAR and GNUzip (.tar.gz)
.thb   |   KinuPix Skin
.thd   |   Thread
.thm   |   Thumbnail Image file
Microsoft Clipart Gallery database
Serif DrawPlus Theme
.thn   |   Graphics Workshop for Windows Thumbnail
.ths   |   Thesaurus dictionary (WordPerfect for Win)
.tib   |   Acronis True Image file
.tif   |   Tagged Image File Format bitmap graphics (PageMaker – CorelDRAW)
.tiff   |   Tagged Image File Format
.til   |   Fuzzy logic knowledge base (Togai InfraLogic Fuzzy-C Compiler)
.tim   |   Playstation Game Texture Image
The Incredible Machine Level File
.tis   |   Tile set (MahJongg 3.0)
.tix   |   ASA for UNIX Terminfo Extension file
DivX file
Hybrid Graphics file
Tix Widgets
.tjl   |   Backup file (VAXTPU editor)
.tlb   |   OLE Type Library
Reference table (Bubble Chamber)
Text library (VAX)
Type library (Visual C++)
.tlc   |   Compiled Tool Command Language source code (Swat)
.tlp   |   Project (TimeLine)
.tlt   |   Trellix Web Design file
.tmb   |   Timbuktu Pro Connection Document
.tmd   |   Document (TextMaker)
.tmf   |   Tagged Font Metric file (WordPerfect for Win)
.tmo   |   Ztg global optimizer default output file (Zortech C++)
.tmp   |   Temporary file
.tmpl   |   eMule Web Interface Template file
.tmq   |   TestMaster file
.tms   |   Script (Telemate)
.tmv   |   Template (TextMaker)
.toc   |   Table Of Contents
PSP Audio file
.tol   |   Kodak Photoenhancer
.TOPC   |   TopicCrunch project file for saving and resubmitting SEO searches
.tos   |   Self-extracting file archive (Atari ST)
.tp   |   Configuration (Turbo Pascal)
Session-state file (Turbo Profiler)
GUI template file for components written in C (Ternion)
.tp3   |   Template (Harvard Graphics 3.0)
.tpb   |   Downloadable PCL Soft font file backup (HiJaak)
.tpf   |   Downloadable PCL Soft font file (HiJaak)
.tph   |   Help file (Turbo Pascal)
.tpi   |   Microsoft Test file
.tpl   |   Document Template file
Resident units library (Turbo Pascal)
Template (Harvard Graphics 2.0)
.tpp   |   Protected Mode Units (Borland Pascal 7.0)
Teleport Pro Project file
GUI template file for components written in C++ (Ternion)
.tps   |   Clarion for Windows data file
.tpu   |   Turbo Pascal Unit (BGI) (Turbo Pascal)
Command file (VAXTPU editor)
.tpw   |   Session-state file (Turbo Profiler for Windows)
Turbo Pascal Unit (BGI) (Turbo Pascal for Windows)
.tpz   |   Compressed file archive created by TAR and GNUzip (.tar.gz)
.tr   |   Session-state settings (Turbo Debugger for DOS)
Man page input suitable for troff -man (cawf2.zip)
.tr2   |   Session-state settings (Turbo Debugger for Win32)
.trace   |   ECXpert Debugging file
TcpDump Output file
Telcordia Software Visualization and Analysis Toolsuite
WebSTAR Mail Server Error file
Zope 3 Strace Log
.trc   |   Debug support file (Power CTrace)
.tre   |   Directory tree file (PC-Tools)
.trg   |   Symantec LiveUpdate file
.tri   |   Trigram file
.trk   |   Kermit Script file
Mixman Studio Track
Train Dispatcher Railroad Centgralized Traffic Control Simulation
Magellan “MapSend”- series GPS ‘track’ data file
.trm   |   Terminal settings (Windows 3.x)
.trn   |   Translation support file (Quattro)
.trp   |   Tripmaker file
High Definition Video Transport Stream file
.trs   |   Executable file (Micrografx)
.trw   |   Session-state settings (Turbo Debugger for Windows)
.trx   |   Router Firmware file
Emerald PC Authorize Batch Transaction file
.ts   |   Transport Stream file
.tsk   |   Skins for Pocket PC PDAs
PhotoImpact Quick Command
.tsp   |   Windows Telephony Service Provider
.tst   |   Printer test file (WordPerfect for Win)
.tsv   |   Tab Separated Value file
.tt10   |   Turbotax 2010 Return file
.tta   |   The True Audio Codec file
.ttc   |   OpenType font file
.ttf   |   Truetype Font file
.tub   |   PaintShop Pro Tube file
.tut   |   Tutorial
.tv   |   Table view settings (Paradox)
.tv1   |   Overflow file above insert point in Doc 1 (WordPerfect for Win)
.tv2   |   Overflow file above insert point in Doc 2 (WordPerfect for Win)
.tv3   |   Overflow file above insert point in Doc 3 (WordPerfect for Win)
.tv4   |   Overflow file above insert point in Doc 4 (WordPerfect for Win)
.tv5   |   Overflow file above insert point in Doc 5 (WordPerfect for Win)
.tv6   |   Overflow file above insert point in Doc 6 (WordPerfect for Win)
.tv7   |   Overflow file above insert point in Doc 7 (WordPerfect for Win)
.tv8   |   Overflow file above insert point in Doc 8 (WordPerfect for Win)
.tv9   |   Overflow file above insert point in Doc 9 (WordPerfect for Win)
.tvf   |   Table view settings (dBASE)
.tvo   |   TeveoLive
.tvp   |   NVIDIA Graphic Card Update file
.tvr   |   Navicat for MySQL file
.tvt   |   RealPlayer
.txd   |   Grand Theft Auto 3 Texture file
Letters Direct
.txf   |   Compressed file archive created by TAR and FREEZE (.tar.f)
.txi   |   Support file (TeX)
.txl   |   Genesis3D Texture file
.txt   |   Text file
.tym   |   Time Stamp (PageMaker 4)
.tz   |   Compressed file archive created by TAR and COMPRESS (.tar.Z)
.tzb   |   Compressed file archive created by TAR – COMPRESS – BTOA (.tar.Z.btoa)
.uax   |   Unreal Audio file
.ub   |   Audio file (unsigned byte)
.uc2   |   Compressed file archive created by UltraCompressor II (uc2.zip)
.ucn   |   New compressed file archive created by UltraCompressor II
.ucs   |   Universal Classification Standard Database file
.udc   |   Acrobat Spelling file
.udf   |   Filter (Photostyler)
.udl   |   MS Data Link
.uds   |   Sierra Generations Family file
.ue2   |   Encrypted file archive created by UltraCompressor II
.ufo   |   Ulead PhotoImpact Graphic file
.uha   |   UHARC Compressed Archive file
.uhs   |   Universal Hint System (binary file)
.ui   |   Espire source code file (Geoworks UI Compiler)
User interface (Sprint)
.uif   |   MagicISO Disc Image file
Long prompts for windows (WordPerfect for Win)
.uih   |   Espire header file (Geoworks UI Compiler)
.uis   |   WindowBlinds (Copyright Neil Banfield & Stardock.net, Inc.)
.ul   |   Ulaw audio file
.uld   |   Information about uploaded files (Procomm Plus)
.ult   |   Music (UltraTracker)
.umb   |   Backup file (MemMaker)
.umd   |   Universal Media Disc file
.umf   |   Stockmoves, MOTEK BV
.umx   |   Unreal music file
.uni   |   Unimod music module (MIKMOD)
Datafile (Forecast Pro)
.unl   |   Garmin Unlock file
.unq   |   Fax View file
.uns2   |   Ultra Notes Backup file
.unx   |   Text file containing UNIX specific info
.upd   |   Program update info
Update data (dBASE)
.upg   |   Firmware Upgrade file
.upo   |   Compiled update data (dBASE)
.upx   |   ULead Photo Express Saved Image file
.url   |   Uniform Resource Locator (Internet shortcut)
.urls   |   GetRight URL List file
.usb   |   D-Link FM Radio Update
USB Protocol Analyzer Trace
.user   |   Visual Studio User Options file
.usp   |   Printer font with USASCII extended character set (PageMaker)
.usr   |   User database file (Procomm Plus – Turbo C++ tour)
.utf   |   AOL Updating Files
.utl   |   Sound file
.utx   |   Unreal Engine Texture file
Unicode file
.uu   |   Compressed ASCII file archive created by UUDE/ENCODE
.uue   |   Compressed ASCII file archive created by UUENCODE (uuexe515.exe)
.uvf   |   CSV (comma separated value) format. Used by Netica
.uvr   |   Ulead Cool 360 Viewer file
.uw   |   Audio file (unsigned word)
.uwl   |   WordPerfect User Word List file
.v   |   Consistency check support file (ReaGeniX code generator)
Main input file for an image (Vivid 2.0)
.v2   |   Microsoft Live Messenger data file
.v64   |   Nintento 64 Emulation ROM Image
.val   |   Validity checks and referential integrity (Paradox for Windows)
Values list object file (dBASE Application Generator)
.van   |   Animation (VistaPro)
.var   |   Variable file (IconAuthor)
.vbc   |   Visual Business Cards
.vbd   |   ActiveX file
.vbe   |   VBScript Encoded Script file
.vbn   |   Norton Corporate anti-virus quarantined file
.vbp   |   Visual Basic Project file
.vbs   |   Visual Basic Script file (Visual Basic)
.vbw   |   Visual Basic Project Workplace (Visual Basic)
.vbx   |   Visual Basic eXtension (Visual Basic)
.vc   |   Include file with color definitions (Vivid 2.0)
Spreatsheet (VisiCalc)
.vc4   |   Virtual CD/DVD Image file
.vcd   |   VisualCADD Drawing file
Video CD format
.vce   |   Visual CE Class Type file
.vcf   |   VCard file
.vch   |   Interlock Public Computer Utility
.vcmf   |   VAIO Content Metadata file
.vcs   |   vCalender file
.vcw   |   Visual workbench information (MS Visual C++)
.vcx   |   Spreatsheet (VisiCalc Advanced)
.vda   |   Bitmap graphics
.vdb   |   Norton AntiVirus Corporate Edition Update file
PC-cillin Quarantined file
.vdf   |   Avira AntiVir virus definition file
Vexira Anti-virus virus definition file
.vdi   |   Virtual Disk Images files
.vdj   |   Virtual DJ Sample file
.vdm   |   VDM Play
.vdr   |   Drawing (ComputerEasy Draw)
.vdx   |   XML for Visio Drawing file
Vector Graphic file
Virtual Device Driver
.vem   |   VeePro Embroidery Software Format
Voice E-mail file
.ver   |   Version Description file
.vew   |   View file (Clipper 5, Lotus Approach)
.vfm   |   Voting Form (Voter)
.vfn   |   Voting Form for Customers (Voter)
.vfp   |   TMPGEnc VFAPI Plug-in
.vfs   |   Virtual File System Index
.vfx   |   Ulead Video Studio Sample file
.vga   |   Vga display driver
Vga display font
.vgd   |   Vga display driver (Generic CADD)
.vgr   |   Graphics (Ventura Publisher)
.vhd   |   Virtual Hard Disk file
.vi   |   Graphics (Jovian Logic VI)
.vic   |   Vicar graphics
.vid   |   Video file
Ms-DOS Shell Monitor file (MS-DOS 5)
Bitmap graphics (YUV12C M-Motion Frame Buffer)
Screen device driver (Word)
.vif   |   Khoros Visualization image file (SDSC Image Tool)
.vik   |   Viking graphics
.vir   |   Virus Infected file
.vis   |   Vis graphics
.viv   |   VivoActive Player Video file
.vlm   |   Ashlar-Vellum file
Novell Virtual Loadable Module
Vellum CAD Drawing
.vlt   |   WinVault Container file
.vm   |   Virtual Memory file (Geoworks)
.vm1   |   Panasonic SD Voice Editor file
.vmc   |   Virtual memory configuration (Acrobat reader)
.vmdk   |   VMware Image file
.vmf   |   Font characteristics (Ventura Publisher)
Voice mail file (VocalTec Voice)
.vmg   |   Text Message files
.vml   |   Vector Markup Language
.vmo   |   Mobile Phone voice file (Siemens Sl45)
Virtools Behavioral Server Composition (Web-based Protected Format)
Cosmopolitan Virtual Makeover File
.vmp   |   Logos Library System 2.x Verse Map
.vms   |   Text file containing VMS specific info
.vmt   |   Valve Material file. Details how a material is to be rendered
.vmx   |   VMware Configuration file
.vnt   |   vNote file
.vo   |   Include file with object definition (Vivid 2.0)
.vob   |   DVD video movie file
.voc   |   Digitized samples (Creative Voice file)
.vof   |   Object folder (VZ Programmer)
.vol   |   VOL Archive file
Tribes 2 game file
Earth Siege 2 Archive
Giants: Citizen Kabuto Archive
Tribes Archive
Tribes Extreme Archive
.vor   |   OpenOffice.org Template
.vox   |   Vox Audio
Dialogic ADPCM
Talking Technology Inc. file
Natural MicroSystmes Voice file
.vp6   |   TrueMotion VP6 Video file
.vpa   |   Excite Chat Gestures file
.vpd   |   Virpet Performance Descriptor
VitaGraph file
.vpg   |   Graphics (VPGraphics)
.vpk   |   Steam Package Archive file
.vpl   |   Karaoke Player Playlist file
Virtual Property List file
.vpp   |   Virtual Pool Game
Red Faction/Summoner Package file
.vqe   |   Yamaha Sound-VQ Locator File
.vqf   |   Yamaha Sound-VQ File
.vql   |   Yamaha Sound-VQ Locator File
.vrd   |   VRScape data file
.vrm   |   Overlay file (QuattroPro)
.vro   |   Panasonic DVD Recorder file
.vrp   |   Project (WATCOM VX?Rexx)
.vrs   |   Video Resource eg. video device driver (WordPerfect)
.vs   |   Include file with surface definition (Vivid 2.0)
.vsd   |   Diagram (Shapeware Visio)
.vsl   |   GetRight Download List file
Visio Library
.vsm   |   Simulation model (VisSim)
.vsp   |   Visual Studio file
Sprite (SPX)
Backup Exec 9.1 and higher
.vss   |   Smartshapes file (Shapeware Visio)
.vst   |   Truevision Vista bitmap graphics
.vtf   |   Valve Texture file. Used to store texture data
.vts   |   DVD File format
.vtx   |   XML for Visio template file
.vue   |   Animation (3D Studio)
View (dBASE IV – FoxPro)
.vw   |   Text file (Volkswriter)
.vw3   |   Text file (Volkswriter 3)
.vwl   |   VideoWave Video Wave Library
.vwr   |   File viewer file (PC Tools)
.vwt   |   VideoWave Thumbnail
.vxd   |   Virtual device driver (MS Windows)
.vyd   |   VyperHelp
.w   |   Database AppBuilder Source Code file
Word chart file (APPLAUSE)
.w02   |   Multiple Archive file
.w30   |   Printer font (AST TurboLaser) (Ventura Publisher)
.w31   |   Startup file (Windows 3.1)
.w3g   |   Warcraft III file
.w3m   |   Warcraft III Map file
.w44   |   Temporary file for Sort or Index (dBASE)
.w5v   |   Winamp file
.wab   |   Outlook File
.wac   |   Infinity Game Engine WAVC Sound
.wad   |   Doom Game file
Gunman Chronicle Archive
Half Life Archive
Heretic Archive
Hexen Archive
Quake Archive
Theme Park World Archive
.waf   |   Mayim’s WAF Compiler file
.wal   |   Winamp Skin file
WalMaster Showlist file
.war   |   Java Web Archive (used by Servlets)
Konqeror HTML page archive
.wav   |   Waveform audio file (RIFF WAVE format)
.wax   |   Windows Media Player Redirect file
.wb1   |   Notebook (Quattro Pro)
.wb2   |   Spreadsheet (Quattro Pro)
.wb3   |   Quattro Pro for Windows
.wba   |   WindowBlinds Compressed Skin
Winace Zip file
.wbc   |   Webshots Picture Collection
.wbf   |   Ms Windows Batch File (Catch)
.wbk   |   Document/workbook (WordPerfect for Win)
.wbmp   |   Wireless Application Protocol Bitmap file
.wbt   |   Batch file (WinBatch)
.wbx   |   Webigger file
.wbz   |   WebShots file
.wcd   |   Macro token list (WordPerfect for Win)
.wcm   |   Data transmission file (MS Works)
Macro (WordPerfect for Win)
.wcp   |   Product information description (WordPerfect for Win)
.wd2   |   Info Select for Palm Organizer file
WordExpress Document
.wdb   |   Database (MS Works)
.wdf   |   ReliaSoft Weibull 5.0
Workshare DeltaView DeltaFile
.wdl   |   Windows XP Watchdog Log file
.web   |   Web source code file
.wer   |   Microsoft Windows Error Report file
.wfc   |   Windows Connect Now file
.wfm   |   Form object (dBASE Form Designer)
.wfn   |   Font (CorelDRAW)
.wfx   |   Data file (Winfax)
.wg1   |   Worksheet (Lotus 1-2-3/G)
.wg2   |   Worksheet (Lotus 1-2-3 for OS/2)
.wgt   |   Opera Widget file
.wid   |   Width table (Ventura Publisher)
.wim   |   Image Format file
.win   |   Opera Saved Window file
Window file (FoxPro – dBASE)
Wonderware InTouch window file
.wiz   |   Page wizard (MS Publisher)
.wjp   |   WildTangent Branded .jpg file
.wk1   |   Spreadsheet (Lotus 1-2-3 version 2.x – Symphony 1.1+)
.wk3   |   Spreadsheet (Lotus 1-2-3 version 3.x)
.wk4   |   Spreadsheet (Lotus 1-2-3 version 3.4)
.wkb   |   Document (WordPerfect for Win)
Workbook file
.wke   |   Spreatsheet (Lotus 1-2-3 educational version)
.wkq   |   Spreatsheet (Quattro)
.wks   |   Spreadsheet (Lotus 1-2-3 version 1A – Symphony 1.0 – MS Works)
